Name ,Type,CLASS,Country,Displacement,Length,Range,Speed,Armament,Pennant No.,Homeport,Lat,Long,Can destroy,Best Suited for,WEAPONS,RADAR,ENGINE,COMM
INS Visakhapatnam,Destroyer,Kolkata,India,"7,300 long tons",163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"4 × 8-cell VLS, for a total of 32 Barak 8 missiles  
2 × 8-cell UVLM for 16 BrahMos missiles 
1 × OTO Melara 76 mm naval gun
4 × AK-630 CIWS
4 × 533 mm Torpedo tubes
2 × RBU-6000 anti-submarine rocket launchers",D66,Mumbai,19.0821978,72.7410981,"Frigates, Destroyer",Anti Piracy,61,67,94,85
INS Kolkata,Destroyer,Kolkata,India,7400 long tons,163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"4 × 8-cell VLS, for a total of 32 Barak 8 missiles  
2 × 8-cell UVLM for 16 BrahMos missiles 
1 × OTO Melara 76 mm naval gun
4 × AK-630 CIWS
4 × 533 mm Torpedo tubes
2 × RBU-6000 anti-submarine rocket launchers",D63,Mumbai,19.285178,71.848633,"Frigates, Destroyer",Anti Piracy,81,88,84,78
INS Kochi,Destroyer,Kolkata,India,"7,400 long tons",163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"2 × 8-cell VLS for Barak 8 LR-SAM missiles
2 × 8-cell UVLM for 16 BrahMos anti-ship and l
And-attack missiles
76 mm Oto Melara SRGM gun
4 × AK-630 CIWS
2 × twin tube 533mm torpedo launchers
2 × RBU-6000 anti-submarine rockets",D64,Mumbai,19.3821978,70.7410981,"Frigates, Destroyer",Anti Piracy,53,68,91,86
INS Chennai,Destroyer,Kolkata,India,"7,400 long tons",163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"4 × 8-cell VLS for Barak 8 LR-SAM missiles
2 × 8-cell UVLM for 16 BrahMos anti-ship and l
And-attack missiles
76 mm Oto Melara SRGM gun
4 × AK-630 CIWS
2 × twin tube 533mm torpedo launchers
2 × RBU-6000 anti-submarine rockets",D65,Mumbai,19.067456,71.8460981,"Frigates, Destroyer",Anti Piracy,80,85,84,80
INS Mysore,Destroyer,Delhi,India,"6,200 tonnes",163 m (535 ft),4500,32 knots (59 km/h; 37 mph),"16 × Kh-35E SSM
16 × Barak 1
2 × Shtil SAM systems (48 missiles)
100 mm AK-100 gun
2 × 30 mm AK-630 gatling guns
2 × RBU-6000 rocket launchers
Quintuple 533mm torpedo tubes
2 rails of depth charges",D60,Mumbai,18.0821978,72.5510981,"Frigates, Destroyer",Anti Piracy,58,62,83,80
INS Delhi,Destroyer,Delhi,India,"6,200 tonnes",163 m (535 ft),4500,32 knots (59 km/h; 37 mph),"17 × Kh-35E SSM
16 × Barak 1
2 × Shtil SAM systems (48 missiles)
100 mm AK-100 gun
2 × 30 mm AK-630 gatling guns
2 × RBU-6000 rocket launchers
Quintuple 533mm torpedo tubes
2 rails of depth charges",D61,Mumbai,18.1221978,70.5410981,"Frigates, Destroyer",Anti Piracy,48,50,94,83
INS Mumbai,Destroyer,Delhi,India,"6,200 tonnes",163 m (535 ft),4500,32 knots (59 km/h; 37 mph),"17 × Kh-35E SSM
16 × Barak 1
2 × Shtil SAM systems (48 missiles)
100 mm AK-100 gun
2 × 30 mm AK-630 gatling guns
2 × RBU-6000 rocket launchers
Quintuple 533mm torpedo tubes
2 rails of depth charges",D62,Mumbai,16.3821978,69.7410981,"Frigates, Destroyer",Anti Piracy,95,90,97,78
INS Rana,Destroyer,Rajput,India,"4,974 tonnes",147 m (482 ft),4000,35 knots (65 km/h),"4 × SS-N-2D Styx AShM missiles
2 × S-125M (NATO: SA-N-1) SAM launchers
76.2 mm main gun
4 × 30 mm AK-230 CIWS
533 mm PTA quintuple torpedo tube launcher
2 × RBU-6000 anti-submarine mortars",D52,Visakhapatnam,9.341231,74.355887,"Frigates, Destroyer",Anti Piracy,52,60,79,80
INS Ranvijay,Destroyer,Rajput,India,"4,974 tonnes",147 m (482 ft),4000,35 knots (65 km/h),"4 × SS-N-2D Styx AShM missiles
2 × S-125M (NATO: SA-N-1) SAM launchers
76.2 mm main gun
4 × 30 mm AK-230 CIWS
533 mm PTA quintuple torpedo tube launcher
2 × RBU-6000 anti-submarine mortars",D54,Visakhapatnam,14.4386225,83.1225031,"Frigates, Destroyer",Anti Piracy,67,70,78,86
INS Ranvir,Destroyer,Rajput,India,"4,974 tonnes",147 m (482 ft),4000,35 knots (65 km/h),"4 × SS-N-2D Styx AShM missiles
2 × S-125M (NATO: SA-N-1) SAM launchers
76.2 mm main gun
4 × 30 mm AK-230 CIWS
533 mm PTA quintuple torpedo tube launcher
2 × RBU-6000 anti-submarine mortars",D55,Visakhapatnam,15.7386225,83.1225031,"Frigates, Destroyer",Anti Piracy,87,90,82,81
INS Shivalik,Frigate,Shivalik,India,"6,200 tonnes ",142.5 m (468 ft),5000,32 kn (59 km/h; 37 mph) ,"32-cell VLS-launched Barak 1 surface-to-air 
missiles
24 × Shtil-1 medium-range missiles
8 × VLS-launched Klub, anti-ship cruise 
missiles or BrahMos
1 × OTO Melara 76 mm gun
2 × AK-630 CIWS
2 × 2 DTA-53-956 torpedo launchers
2 × RBU-6000 (RPK-8) rocket launchers",F47,Kolkata,14.1565454,88.4623455,,Relief Operation,56,67,88,89
INS Satpura,Frigate,Shivalik,India,"6,200 tonnes ",142.5 m (468 ft),5000,32 kn (59 km/h; 37 mph) ,"32-cell VLS-launched Barak 1 surface-to-air 
missiles
24 × Shtil-1 medium-range missiles
8 × VLS-launched Klub, anti-ship cruise 
missiles or BrahMos
1 × OTO Melara 76 mm gun
2 × AK-630 CIWS
2 × 2 DTA-53-956 torpedo launchers
2 × RBU-6000 (RPK-8) rocket launchers",F48,Kochi,9.9823428,76.1608452,,Relief Operation,78,80,90,92
INS Sahyadri,Frigate,Shivalik,India,"6,200 tonnes ",142.5 m (468 ft),5000,32 kn (59 km/h; 37 mph) ,"32-cell VLS-launched Barak 1 surface-to-air 
missiles
24 × Shtil-1 medium-range missiles
8 × VLS-launched Klub, anti-ship cruise 
missiles or BrahMos
1 × OTO Melara 76 mm gun
2 × AK-630 CIWS
2 × 2 DTA-53-956 torpedo launchers
2 × RBU-6000 (RPK-8) rocket launchers",F49,Mumbai,18.7821978,72.7410981,,Relief Operation,88,90,94,97
INS Betwa,Frigate,Brahmaputra,India,"3,850 tons",126.4 m (414 ft 8 in),4500,30 knots (56 km/h; 35 mph),"16 × Kh-35 (SS-N-25 Switchblade) AShMs 
(4 x quadruple KT-184 launchers)
2 × 8 Barak SAM VLS system
1 × OTO Melera Super Rapid 76mm main gun
4 × 6-barrelled 30mm AK-630 Gatling guns
6 × 324mm ILAS 3 (2 x triple tubes) with 
Whitehead A244S anti-submarine torpedoes
",F39,Chennai,13.0835542,92.2767408,,Relief Operation,56,60,87,90
INS Beas,Frigate,Brahmaputra,India,"3,850 tons",126.4 m (414 ft 8 in),4500,30 knots (56 km/h; 35 mph),"16 × Kh-35 (SS-N-25 Switchblade) AShMs 
(4 x quadruple KT-184 launchers)
2 × 8 Barak SAM VLS system
1 × OTO Melera Super Rapid 76mm main gun
4 × 6-barrelled 30mm AK-630 Gatling guns
6 × 324mm ILAS 3 (2 x triple tubes) with 
Whitehead A244S anti-submarine torpedoes
",F37,Mumbai,19.0821978,68.7410981,,Relief Operation,65,67,78,75
INS Kamorta,Corvette,Kamorta,India,"3,500 tonnes",109.1 m,4000,32 knots (59 km/h; 37 mph),"Anti-air weaponry:
1 X OTO Melara 76 mm Super Rapid Gun Mount 
(SRGM)-
 2 x AK-630M CIWS
To be outfitted with 32 × VL-SRSAM
Anti-submarine warfare:
2 X RBU-6000 (IRL) anti-submarine rocket launcher
2x4 533 mm Torpedo tubes (Varunastra)",P28,Visakhapatnam,16.7386225,83.1225031,"Frigates, Destroyer",Anti Piracy,96,99,86,77
INS Kadmatt,Corvette,Kamorta,India,"3,500 tonnes",109.1 m,4000,32 knots (59 km/h; 37 mph),"Anti-air weaponry:
1 X OTO Melara 76 mm Super Rapid Gun Mount 
(SRGM)-
 2 x AK-630M CIWS
To be outfitted with 32 × VL-SRSAM
Anti-submarine warfare:
2 X RBU-6000 (IRL) anti-submarine rocket launcher
2x4 533 mm Torpedo tubes (Varunastra)",P29,Visakhapatnam,17.7386225,85.1225031,"Frigates, Destroyer",Anti Piracy,94,98,92,94
INS Kiltan,Corvette,Kamorta,India,"3,500 tonnes",109.1 m,4000,32 knots (59 km/h; 37 mph),"Anti-air weaponry:
1 X OTO Melara 76 mm Super Rapid Gun Mount 
(SRGM)-
 2 x AK-630M CIWS
To be outfitted with 32 × VL-SRSAM
Anti-submarine warfare:
2 X RBU-6000 (IRL) anti-submarine rocket launcher
2x4 533 mm Torpedo tubes (Varunastra)",P30,Visakhapatnam,17.7386225,86.5225031,"Frigates, Destroyer",Anti Piracy,72,80,83,86
INS Kavaratti,Corvette,Kamorta,India,"3,500 tonnes",109.1 m,4000,32 knots (59 km/h; 37 mph),"Anti-air weaponry:
1 X OTO Melara 76 mm Super Rapid Gun Mount 
(SRGM)-
 2 x AK-630M CIWS
To be outfitted with 32 × VL-SRSAM
Anti-submarine warfare:
2 X RBU-6000 (IRL) anti-submarine rocket launcher
2x4 533 mm Torpedo tubes (Varunastra)",P31,Visakhapatnam,17.7386225,87.1255031,"Frigates, Destroyer",Anti Piracy,54,60,88,80
INS Vipul,Corvette,Veer,India,455 tons ,56.1 m (184 ft),2000,36 knots (67 km/h; 41 mph),"4 × P-15 Termit (NATO: SS-N-2D Mod 1 Styx) 
missiles or 16 × Kh-35 Uran (NATO: SS-N-25) 
missiles (K91 and K92)
1 quad SA-N-5 Grail launcher for air defence missiles
1 × 76 mm 60-cal main gun or 1 × 76 mm 62-cal 
OTO Melara 76 mm Super Rapid gun (K91 and K92)
2 × AK-630 30 mm gun
",K46,Mumbai,18.0421978,71.7410981,"Frigates, Destroyer",Anti Piracy,87,90,90,82
INS Vinash,Corvette,Veer,India,455 tons ,56.1 m (184 ft),2000,36 knots (67 km/h; 41 mph),"4 × P-15 Termit (NATO: SS-N-2D Mod 1 Styx) 
missiles or 16 × Kh-35 Uran (NATO: SS-N-25) 
missiles (K91 and K92)
1 quad SA-N-5 Grail launcher for air defence missiles
1 × 76 mm 60-cal main gun or 1 × 76 mm 62-cal 
OTO Melara 76 mm Super Rapid gun (K91 and K92)
2 × AK-630 30 mm gun
",K47,Mumbai,17.0821978,72.7450981,"Frigates, Destroyer",Anti Piracy,59,70,90,83
INS Vidyut,Corvette,Vidyut,India,455 tons ,56.1 m (184 ft),2000,36 knots (67 km/h; 41 mph),"4 × P-15 Termit (NATO: SS-N-2D Mod 1 Styx) 
missiles or 16 × Kh-35 Uran (NATO: SS-N-25) 
missiles (K91 and K92)
1 quad SA-N-5 Grail launcher for air defence missiles
1 × 76 mm 60-cal main gun or 1 × 76 mm 62-cal 
OTO Melara 76 mm Super Rapid gun (K91 and K92)
2 × AK-630 30 mm gun
",K48,Kochi,9.5523428,76.1608452,"Frigates, Destroyer",Anti Piracy,61,63,82,80
INS Vibhuti,Corvette,Veer,India,455 tons ,56.1 m (184 ft),2000,36 knots (67 km/h; 41 mph),"4 × P-15 Termit (NATO: SS-N-2D Mod 1 Styx) 
missiles or 16 × Kh-35 Uran (NATO: SS-N-25) 
missiles (K91 and K92)
1 quad SA-N-5 Grail launcher for air defence missiles
1 × 76 mm 60-cal main gun or 1 × 76 mm 62-cal 
OTO Melara 76 mm Super Rapid gun (K91 and K92)
2 × AK-630 30 mm gun
",K45,Mumbai,19.0351978,69.7410981,"Frigates, Destroyer",Anti Piracy,67,67,90,80
INS Kora,Corvette,Kora,India,"1,400 tonnes ",91.1 m (299 ft),4000,25 kn (46 km/h; 29 mph),"16 × Kh-35 (SS-N-25) SSM (4 x quad launchers)
SA-N-5 Grail launcher for air defence missiles
1 × 76 mm 62-cal Otobreda gun (P61, P62, P63 and 
P64) (replaced AK 76/60 gun during MLU)
2 × 30 mm 65-cal AK-630 CIWS
",P61,Visakhapatnam,17.7386225,85.9825031,"Frigates, Destroyer",Anti Piracy,52,54,86,88
INS Kirch,Corvette,Kora,India,"1,400 tonnes ",91.1 m (299 ft),4000,25 kn (46 km/h; 29 mph),"16 × Kh-35 (SS-N-25) SSM (4 x quad launchers)
SA-N-5 Grail launcher for air defence missiles
1 × 76 mm 62-cal Otobreda gun (P61, P62, P63 and 
P64) (replaced AK 76/60 gun during MLU)
2 × 30 mm 65-cal AK-630 CIWS
",P62,Visakhapatnam,17.7386225,83.5225031,"Frigates, Destroyer",Anti Piracy,77,80,85,93
INS Deepak,Tanker,Deepak,India,"30,000 tonnes ",175 m (574 ft),10000,,,,Mumbai,19.2221978,72.7410981,,Refueling,56,59,77,80
INS Shakti,Tanker,Deepak,India,"27,550 tonnes",175 m (574 ft),10000,,,,Visakhapatnam,8.5596766,73.878655,,Refueling,88,78,90,89
INS Aditya,Tanker,Deepak,India,"24,612 tons",172 m (564 ft),10000,,,,Kochi,4.9765555,74.48099,,Refueling,45,50,88,90
INS Jyoti,Tanker,Komandarm,India,"35,900 tonnes",178 m (584 ft),12000,,,,Kolkata,21.061936,88.0236771,,Refueling,73,73,76,80
INS Magar,LST,Magar,India,"5,665 tons",120 m (394 ft),3000,,,,Chennai,13.0835542,85.2767408,,Relief Operation,71,75,87,80
INS Shardul,LST,Shardul,India,"5,600 tons",125 m (410 ft),3000,,,,Mumbai,21.7598098,64.1675455,,Relief Operation,77,78,65,64
INS Kesari,LST,Shardul,India,"5,650 tons",125 m (409 ft),3000,,,,Visakhapatnam,17.1386225,83.1225031,,Relief Operation,82,88,91,90
INS Airavat,LST,Shardul,India,"5,650 tons",125 m (410 ft),3000,,,,Kochi,4.4563456,71.9178649,,Relief Operation,86,84,90,98
INS Cheetah,LST,Kumbhir,India,"1,120 tons",84 m (275 ft),3000,,,,Kolkata,7.798095,91.692677,,Relief Operation,90,89,90,98
INS Guldar,LST,Kumbhir,India,"1,120 tons",84 m (275 ft),3000,,,,Mumbai,19.0821978,71.9710981,,Relief Operation,88,87,56,57
INS Kumbhir,LST,Kumbhir,India,"1,120 tons",84 m (275 ft),3000,,,,Visakhapatnam,8.7857009,72.765666,,Relief Operation,86,87,88,90
INS Talwar,Frigate,Talwar,India,"4,035 tons ",125 m (409 ft),4850,,,,Chennai,13.0835542,80.5767408,,Anti Piracy,78,80,89,78
INS Trishul,Frigate,Talwar,India,"4,035 tons ",125 m (409 ft),4850,,,,Mumbai,19.0481978,72.7410981,,Anti Piracy,88,90,90,95
INS Teg,Frigate,Talwar,India,"3,620 tons",125 m (409 ft),4850,,,,Visakhapatnam,17.7386225,83.3825031,,Anti Piracy,56,60,79,88
INS Tarkash,Frigate,Talwar,India,"3,620 tons",125 m (409 ft),4850,,,,Kochi,9.7823428,76.1608452,,Anti Piracy,77,80,85,78
INS Trikand,Frigate,Talwar,India,"3,620 tons",125 m (409 ft),4850,,,,Kolkata,10.661984,95.5389112,,Anti Piracy,98,99,82,90
INS Saryu,OPV,Saryu,India,"2,300 tonnes",105 m (344 ft),3700,25 knots (46 km/h),"	

    1 × OTO Melara 76 mm gun
    2 × AK-630 (30 mm Close-in weapon systems (CIWS)
    6 × self-protection chaff launchers
    Fire-control system
",P54,Port Blair,17.332368,69.19114,,Patrolling,78,80,89,90
INS Sunayna,OPV,Saryu,India,"2,300 tonnes",105 m (344 ft),3700,25 knots (46 km/h),"	

    1 × OTO Melara 76 mm gun
    2 × AK-630 (30 mm Close-in weapon systems (CIWS)
    6 × self-protection chaff launchers
    Fire-control system
",P57,Kochi,14.5582011,71.7719996,,Patrolling,89,90,92,80
INS Sumedha,OPV,Saryu,India,"2,300 tonnes",105 m (344 ft),3700,25 knots (46 km/h),"	

    1 × OTO Melara 76 mm gun
    2 × AK-630 (30 mm Close-in weapon systems (CIWS)
    6 × self-protection chaff launchers
    Fire-control system
",P58,Port Blair,12.2644812,82.3661734,,Patrolling,88,90,92,94
INS Sumitra,OPV,Saryu,India,"2,300 tonnes",105 m (344 ft),3700,25 knots (46 km/h),"	

    1 × OTO Melara 76 mm gun
    2 × AK-630 (30 mm Close-in weapon systems (CIWS)
    6 × self-protection chaff launchers
    Fire-control system
",P59,Chennai,17.983692,87.671275,,Patrolling,82,80,78,82
INS Sukanya,OPV,Sukanya,India,"1,890 tons",101 m (331 ft 4 in),7000,21 knots (39 km/h),"
    1 × 40 mm, 60 cal. Bofors anti-aircraft gun
    2 × 12.7 mm machine guns
    P51 added: 1 Dhanush ballistic missile
    P55 added: 2 x 25 mm, 80 cal. anti-aircraft guns
",P50,Mumbai,19.01978,72.7981,,Patrolling,79,90,80,85
INS Subhadra,OPV,Sukanya,India,"1,890 tons",101 m (331 ft 4 in),7000,21 knots (39 km/h),"
    1 × 40 mm, 60 cal. Bofors anti-aircraft gun
    2 × 12.7 mm machine guns
    P51 added: 1 Dhanush ballistic missile
    P55 added: 2 x 25 mm, 80 cal. anti-aircraft guns
",P51,Mumbai,19.0132978,72.796581,,Patrolling,89,90,91,92
INS Suvarna,OPV,Sukanya,India,"1,890 tons",101 m (331 ft 4 in),7000,21 knots (39 km/h),"
    1 × 40 mm, 60 cal. Bofors anti-aircraft gun
    2 × 12.7 mm machine guns
    P51 added: 1 Dhanush ballistic missile
    P55 added: 2 x 25 mm, 80 cal. anti-aircraft guns
",P52,Mumbai,19.01378,72.796581,,Patrolling,80,78,82,82
INS Savitri,OPV,Sukanya,India,"1,890 tons",101 m (331 ft 4 in),7000,21 knots (39 km/h),"	

    1 × 40 mm, 60-cal Bofors anti-aircraft gun
    2 × 12.7 mm machine guns
",P53,Visakhapatnam,17.76225,83.38031,,Patrolling,78,77,76,79
INS Sharada,OPV,Sukanya,India,"1,890 tons",101 m (331 ft 4 in),7000,21 knots (39 km/h),"
    1 × 40 mm, 60 cal. Bofors anti-aircraft gun
    2 × 12.7 mm machine guns
    P51 added: 1 Dhanush ballistic missile
    P55 added: 2 x 25 mm, 80 cal. anti-aircraft guns
",P55,Kochi,4.45345,71.98649,,Patrolling,81,82,89,92
INS Sujata,OPV,Sukanya,India,"1,890 tons",101 m (331 ft 4 in),7000,21 knots (39 km/h),"
    1 × 40 mm, 60 cal. Bofors anti-aircraft gun
    2 × 12.7 mm machine guns
    P51 added: 1 Dhanush ballistic missile
    P55 added: 2 x 25 mm, 80 cal. anti-aircraft guns
",P56,Kochi,4.45456,71.917864,,Patrolling,80,78,89,92
USS Abraham Lincoln,Aircraft carrier,Nimitz,US,"104,300 long tons",332.8 m,7001,30 kn (56 km/h; 35 mph),"2 × Mk 57 Mod 3 Sea Sparrow
2 × RIM-116 Rolling Airframe Missile
2 × Phalanx CIWS",CVN-72,Washington,38.8936708,-77.1546618,,Refueling,67,57,90,94
