Name ,Type,CLASS,Country,Displacement,Length,Range,Speed,Armament,Pennant No.,Homeport,Lat,Long,Can destroy,Best Suited for,WEAPONS,RADAR,ENGINE,COMM
HMS Dragon,Destroyer,Daring,UK,8503 long tons,155.4 m (500 ft 0 in),7034,33 kn (56 km/h; 35 mph),"Sea Viper air defence system with a 48-cell Sylver Vertical Launching System for a mix of Aster 15 short range and Aster 30 long range missiles
    Up to 2 × quad Harpoon anti-ship missile launchers[N 1]
    1 × BAE 4.5 inch Mk 8 naval gun
    2 × Oerlikon 30 mm guns
    2 × 20mm Phalanx CIWS
    2 × Miniguns
    6 × 7.62mm General Purpose Machine Guns
",D35,Portsmouth,50.8047148,-1.1667701,,Patrolling,91,79,80,89
HMS Defender,Destroyer,Daring,UK,8504 long tons,156.4 m (500 ft 0 in),7035,34 kn (56 km/h; 35 mph),"Sea Viper air defence system with a 48-cell Sylver Vertical Launching System for a mix of Aster 15 short range and Aster 30 long range missiles
    Up to 2 × quad Harpoon anti-ship missile launchers[N 1]
    1 × BAE 4.5 inch Mk 8 naval gun
    2 × Oerlikon 30 mm guns
    2 × 20mm Phalanx CIWS
    2 × Miniguns
    6 × 7.62mm General Purpose Machine Guns
",D36,Portsmouth,50.8047148,-1.1667701,,Patrolling,83,84,84,89
HMS Duncan,Destroyer,Daring,UK,8505 long tons,157.4 m (500 ft 0 in),7036,35 kn (56 km/h; 35 mph),"Sea Viper air defence system with a 48-cell Sylver Vertical Launching System for a mix of Aster 15 short range and Aster 30 long range missiles
    Up to 2 × quad Harpoon anti-ship missile launchers[N 1]
    1 × BAE 4.5 inch Mk 8 naval gun
    2 × Oerlikon 30 mm guns
    2 × 20mm Phalanx CIWS
    2 × Miniguns
    6 × 7.62mm General Purpose Machine Guns
",D37,Portsmouth,50.8047148,-1.1667701,,Patrolling,91,87,89,90
HMS Argyll,Frigate,Duke,UK,4900 long tons,133 m (436 ft 4 in),7037,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F231,Devonport,50.8047148,-1.1667701,,Patrolling,96,93,90,94
HMS Lancaster,Frigate,Duke,UK,4901 long tons,134 m (436 ft 4 in),7038,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F229,Devonport,50.8047148,-1.1667701,,Patrolling,82,73,89,90
HMS Iron Duke,Frigate,Duke,UK,4902 long tons,135 m (436 ft 4 in),7039,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F234,Devonport,50.8047148,-1.1667701,,Patrolling,87,82,94,90
HMS montrose,Frigate,Duke,UK,4903 long tons,136 m (436 ft 4 in),7040,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F236,,50.904355,-1.323344,,Patrolling,94,90,90,93
HMS Westminster,Frigate,Duke,UK,4904 long tons,137 m (436 ft 4 in),7041,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F237,Portsmouth,50.8047148,-1.1667701,,Patrolling,96,90,99,100
HMS Northumberland,Frigate,Duke,UK,4905 long tons,138 m (436 ft 4 in),7042,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F238,Portsmouth,50.8047148,-1.1667701,,Anti Piracy,89,89,96,89
HMS Richmond,Frigate,Duke,UK,4906 long tons,139 m (436 ft 4 in),7043,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F239,Portsmouth,50.8047148,-1.1667701,,Relief Operation,45,78,78,77
HMS Somerset,Frigate,Duke,UK,4907 long tons,140 m (436 ft 4 in),7044,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F82,Portsmouth,50.8047148,-1.1667701,,Relief Operation,67,64,78,79
HMS Sutherland,Frigate,Duke,UK,4908 long tons,141 m (436 ft 4 in),7045,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F81,Portsmouth,50.8047148,-1.1667701,,Relief Operation,67,69,78,79
HMS Kent,Frigate,Duke,UK,4909 long tons,142 m (436 ft 4 in),7046,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F78,Portsmouth,50.8047148,-1.1667701,,Relief Operation,78,80,96,99
HMS Portland,Frigate,Duke,UK,4910 long tons,143 m (436 ft 4 in),7047,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F79,Portsmouth,50.8047148,-1.1667701,,Relief Operation,80,93,96,88
HMS St Albans,Frigate,Duke,UK,4911 long tons,144 m (436 ft 4 in),7048,28 knots (52 km/h; 32 mph),"
    Anti-air missiles:
        1 × 32-cell GWS 35 Vertical Launching System (VLS) for:
        32 × Sea Ceptor missiles (1–25+ km)[2]
    Anti-ship missiles:
        Up to 2 × quad Harpoon launchers (8 × missiles)[3]
    Anti-submarine torpedoes:
        2 × twin 12.75 in (324 mm) Sting Ray torpedo tubes
    Guns:
        1 × BAE 4.5-inch Mk 8 naval gun
        2 × 30 mm DS30M Mk2 guns, or, 2 × 30 mm DS30B guns
        Browning heavy machine guns[4][5]
        2 × Miniguns
        4 × General-purpose machine gun
",F83,Portsmouth,50.8047148,-1.1667701,,Relief Operation,60,63,76,78
JS Murasame,Destroyer,Murasame,Japan,6200 long tons,151 m (495 ft),7049,30 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-101,Yokosuka,35.2601108,139.5915011,,Relief Operation,67,68,90,98
JS Harusame,Destroyer,Murasame,Japan,6201 long tons,152 m (495 ft),7050,31 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-102,Sasebo,50.8047148,-1.1667701,,Relief Operation,78,79,89,90
JS Yudachi,Destroyer,Murasame,Japan,6202 long tons,153 m (495 ft),7051,32 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-103,Ominato,50.8047148,-1.1667701,,Patrolling,89,80,94,97
JS Kirisame,Destroyer,Murasame,Japan,6203 long tons,154 m (495 ft),7052,33 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-104,Sasebo,50.8047148,-1.1667701,,Patrolling,78,78,89,89
JS Inazuma,Destroyer,Murasame,Japan,6204 long tons,155 m (495 ft),7053,34 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-105,Kure,50.8047148,-1.1667701,,Patrolling,78,79,80,84
JS Samidare,Destroyer,Murasame,Japan,6205 long tons,156 m (495 ft),7054,35 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-106,Kure,50.8047148,-1.1667701,,Patrolling,78,80,84,86
JS Ikazuchi,Destroyer,Murasame,Japan,6206 long tons,157 m (495 ft),7055,36 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-107,Yokosuka,35.2601108,139.5915011,,Patrolling,90,97,85,79
JS Akebono,Destroyer,Murasame,Japan,6207 long tons,158 m (495 ft),7056,37 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-108,Kure,50.8047148,-1.1667701,,Patrolling,67,69,89,87
JS Ariake,Destroyer,Murasame,Japan,6208 long tons,159 m (495 ft),7057,38 knots (35 mph; 56 km/h),"
    1 × 76 mm 62cal rapid fire gun (OTO Melara 3)
    2 × missile canister up to 8 Type 90 (SSM-1B)
    2 × 20 mm Phalanx CIWS
    2 × Type 68 triple torpedo tubes
    VLS Mk 48 (16 cells)
      • Evolved Sea Sparrow SAM
    VLS Mk 41 (16 cells)
      • RUM-139 VL ASROC
",DD-109,Kure,50.8047148,-1.1667701,,Relief Operation,78,79,90,98
JS Asagiri,Destroyer,Asagiri,Japan,5200 long tons,137 m (449 ft 6 in),7058,30 knots (56 km/h; 35 mph),"
    1 × Otobreda 76 mm gun
    2 × missile canister up to 8 Harpoon SSM
    2 × 20 mm Phalanx CIWS
    1 × Mk.29 Sea Sparrow SAM octuple launcher
    1 × Mk.16 ASROC anti-submarine rocket octuple launcher
    2 × HOS-302A triple 324 mm (12.8 in) torpedo tubes
",DD-151,Maizuru,50.8047148,-1.1667701,,Relief Operation,69,80,89,93
JS Yamagiri,Destroyer,Asagiri,Japan,5201 long tons,138 m (449 ft 6 in),7059,31 knots (56 km/h; 35 mph),"
    1 × Otobreda 76 mm gun
    2 × missile canister up to 8 Harpoon SSM
    2 × 20 mm Phalanx CIWS
    1 × Mk.29 Sea Sparrow SAM octuple launcher
    1 × Mk.16 ASROC anti-submarine rocket octuple launcher
    2 × HOS-302A triple 324 mm (12.8 in) torpedo tubes
",DD-152,Yokosuka,35.2601108,139.5915011,,Relief Operation,56,87,90,87
JS Yugiri,Destroyer,Asagiri,Japan,5202 long tons,139 m (449 ft 6 in),7060,32 knots (56 km/h; 35 mph),"
    1 × Otobreda 76 mm gun
    2 × missile canister up to 8 Harpoon SSM
    2 × 20 mm Phalanx CIWS
    1 × Mk.29 Sea Sparrow SAM octuple launcher
    1 × Mk.16 ASROC anti-submarine rocket octuple launcher
    2 × HOS-302A triple 324 mm (12.8 in) torpedo tubes
",DD-153,Ominato,50.8047148,-1.1667701,,Relief Operation,78,89,89,90
JS Amagiri,Destroyer,Asagiri,Japan,5203 long tons,140 m (449 ft 6 in),7061,33 knots (56 km/h; 35 mph),"
    1 × Otobreda 76 mm gun
    2 × missile canister up to 8 Harpoon SSM
    2 × 20 mm Phalanx CIWS
    1 × Mk.29 Sea Sparrow SAM octuple launcher
    1 × Mk.16 ASROC anti-submarine rocket octuple launcher
    2 × HOS-302A triple 324 mm (12.8 in) torpedo tubes
",DD-154,Kure,50.8047148,-1.1667701,,Anti Piracy,55,60,78,80
JS Hamagiri,Destroyer,Asagiri,Japan,5204 long tons,141 m (449 ft 6 in),7062,34 knots (56 km/h; 35 mph),"
    1 × Otobreda 76 mm gun
    2 × missile canister up to 8 Harpoon SSM
    2 × 20 mm Phalanx CIWS
    1 × Mk.29 Sea Sparrow SAM octuple launcher
    1 × Mk.16 ASROC anti-submarine rocket octuple launcher
    2 × HOS-302A triple 324 mm (12.8 in) torpedo tubes
",DD-155,Maizuru,50.8047148,-1.1667701,,Anti Piracy,89,92,79,86
